script,tempo_normal,tempo_now,mem_normal_mb,mem_now_mb,cpu_pico_normal_%,cpu_pico_now_%,overhead_tempo_%,overhead_memoria_%,cv_normal_%,cv_now_%,prov_mb,trials
01_matematica/soma_de_quadrados.py,0.11848505733335439,4.309368810000005,4.069010416666667,135.44791666666666,0.0,119.53333333333333,3537.0567791309886,3228.7679999999996,24.916214805378367,19.632733200707047,37.97114562988281,3
01_matematica/numeros_primos.py,0.1521466250000003,73.84262674066666,9.47265625,1573.78125,46.333333333333336,126.2,48433.85787602355,16513.938144329895,33.48898978141246,3.8622040310054353,1808.8892211914062,3
02_manipulacao_de_dados_pandas/filtragem.py,0.45349670766665895,7.069881481333368,68.94661458333333,196.3046875,763.3666666666667,782.3333333333334,1458.9708506836744,184.7198353194463,11.213291890987387,8.511053094529633,40.97215747833252,3
02_manipulacao_de_dados_pandas/agrupamento.py,0.40281368666664247,7.2059826193333265,73.81119791666667,208.09765625,770.1,809.0666666666667,1688.9120598071434,181.93236544534017,0.14083456127505278,6.619466311014365,40.97215557098389,3
03_machine_learning/regressao_logistica.py,1.6757070290000229,16.345093927333362,150.30598958333334,335.2864583333333,822.1333333333333,810.0666666666666,875.4147738514464,123.06925975657295,20.003948185630964,5.12790786324655,108.60705947875977,3
03_machine_learning/random_forest.py,2.330485579000045,19.232979038000014,157.50520833333334,348.0846354166667,756.5666666666667,796.5,725.2777537568982,120.99880956317581,2.4765849060042764,4.9398824075830845,113.5683765411377,3
04_arquivos/escrita.py,0.13474109100002352,69.464395498,9.826822916666666,1591.6861979166667,59.56666666666667,126.13333333333334,51453.98029097737,16097.363190671791,21.681577359220643,4.940739825450686,1594.5288286209106,3
04_arquivos/leitura.py,0.10136794833332867,3.070048103666674,5.223958333333333,111.99869791666667,6.633333333333333,119.46666666666667,2928.618171861801,2043.9431704885346,0.39722656943635987,16.655352326022165,7.407723426818848,3
05_pipeline_ml/normalizacao_mais_treino.py,1.8449234956666487,19.66337141533332,156.45052083333334,347.0559895833333,796.0666666666667,783.0666666666666,965.8095829728763,121.83115002413567,5.734187247420235,2.486403370951268,113.65830421447754,3
05_pipeline_ml/pipeline_completo.py,1.5253713513333576,18.742268686999978,150.875,335.515625,802.6666666666666,755.8666666666667,1128.7020252882674,122.37986743993372,5.08488507061365,4.710292300957904,108.83811092376709,3
06_analise_de_dados/analise_exploratoria_dados.py,0.4530967606667673,7.424495384000086,68.40885416666667,195.19661458333334,769.6333333333333,762.8,1538.6114464986158,185.33823137538542,0.02573824515756495,7.631644379472082,41.066158294677734,3
06_analise_de_dados/limpeza_transformacao_de_dados.py,0.45331264999996773,8.623320672333344,71.609375,198.4765625,782.9333333333334,716.0333333333333,1802.2898814612738,177.16561204451233,11.204027848754903,14.396242187437919,41.25778388977051,3
